t,id,index,x,y
0,301,16,235.0,120.0
1,301,16,237.1842071236415,122.59025890455187
2,301,16,239.08220445338955,124.90547010757926
3,301,16,240.41663219821748,126.66351403662736
4,301,16,243.01502535720982,129.67841049171466
5,301,16,244.61694315952343,131.7263019328391
6,301,16,247.19886096183703,134.75419337396355
7,301,16,248.91391027002877,136.96282086018834
8,301,16,250.06350070234353,138.61559336936196
9,301,16,252.0738882899139,141.09245197444451
10,301,16,252.5123371589271,142.0536144194909
11,301,16,253.48965138178758,143.34022384204732
12,301,16,254.17354504186852,146.49727031082523
13,301,16,253.12890204072656,147.97617802806397
14,301,16,252.18849304615773,149.44996812573345
15,301,16,252.61287857758677,152.1743684177768
16,301,16,252.46331362932534,154.34026572486212
17,301,16,251.94017268785046,156.0808858706857
18,301,16,251.65528202942068,157.94753431457926
19,301,16,252.71571771812452,161.05891906045187
20,301,16,253.55612831943134,164.0447045008792
21,301,16,254.03586176838917,166.76241301497834
22,301,16,254.05810612415726,169.06478563514884
23,301,16,255.16561579841743,172.33265164905697
24,301,16,255.42449194416176,175.34765436651023
25,301,16,251.4248685108042,173.9034050191894
26,301,16,248.13064392482386,173.37660662857886
27,301,16,245.97028994683728,174.1156259826765
28,301,16,243.93869747946061,174.88454817641488
29,301,16,241.4789143208267,175.05812686137205
30,301,16,240.27901895328012,176.4348013858174
31,301,16,236.65003905213948,174.63287774223818
32,301,16,234.77033097389256,175.0086768307225
33,301,16,232.89331621875218,175.36372038160354
34,301,16,229.19920283941212,173.8777418162442
35,301,16,226.20033895531944,173.12689280638867
36,301,16,222.77971195122612,171.97008960920726
37,301,16,219.77558970132222,171.2631885852432
38,301,16,216.20974530944233,170.0122480364446
39,301,16,214.60002085030735,170.7613211524359
40,301,16,213.41437553457408,171.88848731797506
41,301,16,210.695730476947,171.4159370709816
42,301,16,207.27630556298115,170.24949088366702
43,301,16,205.39218727028128,170.66255421934216
44,301,16,202.95218463852578,170.4807057765392
45,301,16,201.49309596880119,171.27161364096276
46,301,16,199.62229616064127,171.5830414515758
47,301,16,197.05745526567324,171.15690628111986
48,301,16,194.9126143707052,171.1507711106639
49,301,16,191.372048208218,169.71966033987084
50,301,16,189.9209804809546,170.45286486184057
51,301,16,187.36310981012252,169.98671292169973
52,301,16,183.96523913929045,168.6805609815589
53,301,16,181.53536968854527,168.425882623745
54,301,16,177.56765721209607,166.61740662899484
55,301,16,173.7186069525567,165.11903978235028
56,301,16,169.9987048300976,163.97647978162573
57,301,16,166.01222094506946,162.84124592842272
58,301,16,163.5651822288724,163.71988209967483
59,301,16,161.11814351267535,164.59851827092697
