t,id,index,x,y
0,21,2,110.0,75.0
1,21,2,112.4,75.0
2,21,2,116.4,76.6
3,21,2,118.95838560479504,76.67198584936531
4,21,2,122.79639650121909,78.0142937789015
5,21,2,125.02855768287039,77.66047716196499
6,21,2,125.8216426683475,75.87842153232387
7,21,2,126.94085040469625,74.53675924365164
8,21,2,129.34061481978827,74.57038590060785
9,21,2,131.10037923488028,73.96401255756405
10,21,2,133.97883864296244,74.52999201896115
11,21,2,136.2184472327908,74.4133350186495
12,21,2,139.25771729979132,75.1125223956425
13,21,2,141.9776819866378,75.41950310649653
14,21,2,142.93703207565662,73.92365375264706
15,21,2,144.21227124919184,72.954747437367
16,21,2,145.95238233637855,72.62308363804885
17,21,2,149.59874679185288,74.30348251900092
18,21,2,153.59338368660914,76.06383881688787
19,21,2,155.96096423077793,75.67069461068175
20,21,2,159.92854477494672,76.87755040447563
21,21,2,158.97510969903308,78.31754142566128
22,21,2,159.8746791548638,81.51547510353178
23,21,2,159.88867829671554,83.91543427485688
24,21,2,161.50267743856728,87.91539344618197
25,21,2,162.70477505791425,91.74357318340437
26,21,2,161.344046334326,93.27715054414112
27,21,2,161.335405465002,95.97454306095655
28,21,2,160.2472357246568,97.69232674141557
29,21,2,160.61556286504245,100.56972724454924
30,21,2,160.02627694862636,102.8962573021057
31,21,2,158.26628210920683,103.54123432527753
32,21,2,156.8264329862837,104.47432359869879
33,21,2,153.3076216581609,103.27879736438337
34,21,2,151.38767138792593,103.74334743237661
35,21,2,149.94805839410256,104.66024894198469
36,21,2,146.11012841229356,103.12059051363315
37,21,2,143.23014179505813,102.63257570915556
38,21,2,141.31028848919874,103.13911078699165
39,21,2,138.11031217686596,102.32844775545539
40,21,2,134.1109967560189,100.78576713512298
41,21,2,130.2810535845059,99.5652475145159
42,21,2,129.51474888988216,101.5659994230598
43,21,2,128.0812024519921,102.70188418551487
44,21,2,125.20152859503975,102.26144907221217
45,21,2,124.4043560755383,103.97791328022103
46,21,2,122.1698679095424,103.97535122159239
47,21,2,119.61753879593662,103.62361856346084
48,21,2,117.22256829316473,103.46832435605918
49,21,2,116.26759779039283,104.75303014865753
50,21,2,114.5963025767621,104.74656712926065
51,21,2,111.39281746956286,102.93405638224618
52,21,2,109.85756470281578,103.8921654102987
53,21,2,110.1875870843783,106.61214448351326
54,21,2,110.97324392664684,109.81210162351104
55,21,2,112.01042844411687,113.33067236373392
56,21,2,113.41548656624023,117.32274210858877
57,21,2,113.34435265788215,120.01065559217142
58,21,2,113.54569087314712,123.0102267054488
59,21,2,111.7132382193488,124.06577718987666
60,21,2,111.42035926721766,126.44783972461384
61,21,2,111.76748031508653,129.46990225935104
62,21,2,111.60053139057553,132.13998326751175
63,21,2,112.56818732593237,136.0551810957568
64,21,2,109.37488738154714,136.2240714721537
65,21,2,112.73341201612568,137.26821169630279
66,21,2,114.33312443154192,136.50536439872417
67,21,2,117.85184003078102,137.70387219430532
68,21,2,118.97178079742963,136.44073388396257
69,21,2,120.41004944194147,135.5718794200649
70,21,2,121.84554823781278,134.75879953093838
71,21,2,124.71693513165766,135.44194658099556
72,21,2,127.75065223585005,136.25549318884717
73,21,2,130.62714848782062,136.8651300442974
74,21,2,132.86535913772016,136.79778898185026
75,21,2,134.14300703820197,135.7840177223828
76,21,2,136.6942416035257,136.14895003706502
77,21,2,137.6467073152547,134.89897061016464
78,21,2,140.1839408307606,135.38875965297157
79,21,2,142.88337108403246,136.02230657101512
80,21,2,145.58750971302558,136.61777525842413
81,21,2,147.4965480312802,136.36689512642147
82,21,2,149.7163347948228,136.5177245974621
83,21,2,153.69178546649238,138.46011926223446
84,21,2,156.7254265887149,138.92552780194708
85,21,2,159.51494979624562,138.75276248893098
86,21,2,160.6970063210725,137.47356491729866
87,21,2,159.801348341899,134.27547201855174
88,21,2,160.79474253190187,132.83570435728242
89,21,2,161.92642683562536,131.72029156316154
90,21,2,163.13716964263332,130.95206884607938
91,21,2,161.35627957860402,127.52485747230642
92,21,2,162.53056354092828,126.76291635211192
93,21,2,162.64947892925107,125.47512261691293
94,21,2,160.48406042987997,122.19477538529189
95,21,2,162.08302007721124,121.32411697831688
96,21,2,163.68262446543002,120.4805419850156
97,21,2,166.08256998526323,120.46437096672749
98,21,2,168.16251550509645,120.12819994843937
99,21,2,171.68251109025047,121.24359655391314
100,21,2,175.52204831803783,122.63646808626787
101,21,2,178.23969394728795,122.85018809502844
102,21,2,181.1166738670771,123.20982504369005
103,21,2,184.95242687738477,124.50711024557214
104,21,2,185.90275346553952,122.85184575253986
105,21,2,189.89871494990126,124.31267475895613
106,21,2,191.00781734679595,122.80422402651682
107,21,2,193.8829562461952,123.13154903647398
108,21,2,195.63602563499873,122.30928850763843
109,21,2,198.5119063625012,122.64873410684568
110,21,2,202.3456077723153,123.9149711629997
111,21,2,204.7285428677235,123.62927844158033
112,21,2,205.51147796313168,121.74358572016095
113,21,2,209.18729364287387,122.8819268739796
114,21,2,211.89247382316213,122.93562721652587
115,21,2,213.63333753894543,121.99315743809073
116,21,2,214.58296302028108,120.33024476695846
117,21,2,216.66264912665542,119.97142993894202
118,21,2,220.34264621372841,121.25516919570764
119,21,2,223.53389448062535,121.85039681948858
120,21,2,224.943239866668,120.50803254077205
121,21,2,227.82018341254422,120.86694729029833
122,21,2,231.16287639021,121.53924227785981
123,21,2,231.9503400345211,119.20570676470312
124,21,2,235.5528575889185,121.09061354224492
125,21,2,238.34725374240048,124.2324954639357
126,21,2,240.9686507672554,127.22487549313833
127,21,2,241.49568973729646,128.14867885378382
128,21,2,244.2765331340346,131.30150268385103
129,21,2,245.75592138416806,133.19132024260293
130,21,2,248.83530963430152,136.68113780135482
131,21,2,248.6642404108875,137.00939007627258
132,21,2,250.9553535586804,139.6899701943423
133,21,2,253.84960917091558,143.03919532886218
134,21,2,255.1520476898905,141.91930022430736
135,21,2,256.10905461027727,140.47930209066757
136,21,2,255.92696269697728,137.9194037704534
137,21,2,255.7480969152085,135.35947792112427
138,21,2,254.77253343592335,131.99952838454803
139,21,2,254.9374077299115,129.75953333429104
140,21,2,253.33877637115134,125.75953372453665
141,21,2,252.41646985198324,122.39982974247911
142,21,2,251.6770021778177,119.20059323110115
143,21,2,251.9173517381637,116.9619386190004
144,21,2,253.59361485550355,116.16315060482874
145,21,2,252.82871107904472,112.96340723207132
146,21,2,251.28475111422895,108.96406158909768
147,21,2,252.5048907891341,107.68615165636253
148,21,2,253.05315515192802,105.76712269097416
149,21,2,254.70761919608964,104.96774075641402
150,21,2,254.07587773949288,101.92775496552673
151,21,2,253.7829473491261,99.20790762950006
152,21,2,253.8198196981954,96.80819088999222
153,21,2,253.0566920472647,93.60847415048438
154,21,2,253.44003141988506,91.52931010359721
155,21,2,252.69236010241264,88.32988064870905
156,21,2,253.4133668307034,86.5712481403886
157,21,2,254.59055125560195,85.29192949928463
158,21,2,254.60560147194983,82.8919766891261
159,21,2,254.7806516882977,80.65202387896755
160,21,2,254.46933124211628,77.93203957373856
161,21,2,254.4913147869403,75.53214025840116
162,21,2,255.4732983317643,74.09224094306374
163,21,2,256.5722995249806,72.81233280938162
164,21,2,257.6208796981773,71.53339570967697
165,21,2,257.65897831420585,69.29649353132554
166,21,2,257.5297138454189,66.89997716436511
167,21,2,258.0404493766319,65.14346079740469
168,21,2,258.6791727663135,63.5488857088004
169,21,2,258.3171315415673,60.99740513319393
170,21,2,259.24357821797264,59.725222633691544
171,21,2,259.7886527461657,58.13879999639026
172,21,2,260.1296597945164,56.397497156585125
173,21,2,260.1147271559962,54.34098287561522
174,21,2,260.24117240827377,52.44716758365105
175,21,2,259.8584624201733,50.07787801396816
176,21,2,259.9557524320728,48.188588444285266
177,21,2,259.2201887975149,45.50483996662674
178,21,2,259.9483971582236,44.25703522142889
179,21,2,260.1086809592598,42.54546715555205
180,21,2,260.21829974262266,40.844805760766704
181,21,2,259.4754680992013,38.35665042328882
182,21,2,258.4269847205038,35.54495004627965
183,21,2,256.6302960552802,31.921228044157928
184,21,2,256.3051090986787,29.54336062917108
185,21,2,254.69992214207718,25.88549321418423
186,21,2,255.62212984234523,24.28860663405675
187,21,2,255.43757860011576,22.07346780832927
188,21,2,258.6349848162024,22.76191766234557
189,21,2,259.74965285268104,21.32202709017928
190,21,2,260.8683593376494,19.963241311191826
191,21,2,261.66835827877395,18.365495773635093
192,21,2,262.6261793313692,17.027741554628175
193,21,2,264.05862553522365,16.258007583289054
194,21,2,267.88572272228834,17.946537298831853
195,21,2,271.7208313657923,19.539686199619798
196,21,2,273.16051348105975,18.61874699410323
197,21,2,275.87734159418255,19.06209607656546
198,21,2,278.59552960514833,19.475339114160192
199,21,2,280.9948089392008,19.534149633531133
200,21,2,284.3540882732533,20.55296015290207
201,21,2,285.6325907948999,19.34819191796192
202,21,2,287.8701247893684,19.296961147838164
203,21,2,289.9461037833185,19.115830368869734
204,21,2,293.4568765094802,20.446082055762957
205,21,2,295.2113183653031,19.642839294565203
206,21,2,297.6046706970876,19.82134592172967
207,21,2,299.35802302887214,19.35985254889414
208,22,2,110.0,75.0
209,22,2,109.16,76.76
210,22,2,108.82318909294607,78.93866880821986
211,22,2,108.81020016172124,81.39556468376216
212,22,2,108.67317076147621,83.71163082460019
213,22,2,108.431600717161,85.88550105090573
214,22,2,107.82887450781274,87.63465171246827
215,22,2,107.77264132251521,89.78907858160268
216,22,2,109.0449001747601,93.19289454314436
217,22,2,109.43691810131877,95.92065167330419
218,22,2,108.38306756058084,97.25246617292525
219,22,2,109.22718303276363,99.89530883714384
220,22,2,109.15520865636572,101.71831970039814
221,22,2,110.63438299318294,100.66383891002995
222,22,2,112.95147648819506,100.50674284880223
223,22,2,115.40783338093773,100.50433240330267
224,22,2,118.14377099755198,100.78961795195467
225,22,2,120.88015314686005,101.0667300767082
226,22,2,124.59698402130392,102.3150632740309
227,22,2,127.05649756723484,102.22535566432708
228,22,2,129.51577906444535,102.14647602312145
229,22,2,132.81476054494206,102.9192445880048
230,22,2,134.15474907351555,101.66696801251813
231,22,2,137.03129765559706,102.08089135212163
232,22,2,139.06921851931287,101.62484896786071
233,22,2,141.66362519412857,101.7953013238778
234,22,2,144.95803186894426,102.66575367989488
235,22,2,147.6973902066814,102.86351380486346
236,22,2,150.99723021911947,103.59235665018024
237,22,2,153.17162038191336,103.00165315520063
238,22,2,156.1916203057168,103.42102369350751
239,22,2,159.8958762288983,104.25532923521078
240,22,2,159.34512993060932,101.09534570276203
241,22,2,158.570357128877,97.65616402142344
242,22,2,157.89409592954837,94.22132498881376
243,22,2,158.17725963540983,91.63679054027514
244,22,2,159.72042334127127,90.31225609173653
245,22,2,160.32788716216535,88.27268936135508
246,22,2,159.28367661805723,84.69348236574558
247,22,2,158.63528745719285,81.26055250045309
248,22,2,160.58904690284967,80.12020794186544
249,22,2,161.2718936214974,78.51724454154758
250,22,2,158.98772497756394,74.67219938673247
251,22,2,158.47585664355753,71.51264493592197
252,22,2,157.85275114770573,68.2137822548186
253,22,2,158.1084300742468,65.75635691692064
254,22,2,158.21582246772823,63.15857577259336
255,22,2,157.62321486120965,59.860794628266085
256,22,2,158.61797055763154,58.10540435425622
257,22,2,159.55220694279552,56.34711270324566
258,22,2,159.7242362710227,53.887309994936174
259,22,2,158.90539351120003,50.447396078825086
260,22,2,159.9788050953831,48.82907464452555
261,22,2,159.8407165940278,46.089075347184696
262,22,2,158.7365902550008,42.36912380400407
263,22,2,157.62320478088375,38.51326090685404
264,22,2,157.95428427445046,35.93442660257243
265,22,2,159.54536376801715,34.61559229829082
266,22,2,159.20620091212334,31.59684926441218
267,22,2,158.2637542734557,27.882918886803797
268,22,2,157.98301046197383,24.503778773378745
269,22,2,158.48570211178804,21.570872020593214
270,22,2,155.18706561400072,20.78667966721335
271,22,2,153.56745953779597,21.721422087082257
272,22,2,151.9494866858974,22.598771900536068
273,22,2,149.35446151899367,22.4380100171922
274,22,2,147.59943635208995,23.117248133848335
275,22,2,145.56832614408987,23.46242753428276
276,22,2,142.84055834512037,23.070519180676666
277,22,2,140.25184875906342,22.828480590660718
278,22,2,136.68313917300648,21.60644200064477
279,22,2,132.82783834098151,20.190193508522412
280,22,2,130.22792857754467,20.16853197612659
281,22,2,128.04801881410782,20.56687044373077
282,22,2,125.8693003498488,20.90524726369428
283,22,2,123.27352026688297,20.75717376546477
284,22,2,121.09774018391714,21.029100267235258
285,22,2,118.50884725992807,20.78903063542124
286,22,2,115.77995433593901,20.408961003607224
287,22,2,112.34643816287002,19.385456616658196
288,23,2,110.0,75.0
289,23,2,110.98,78.98
290,23,2,110.71770374230948,81.83750623441469
291,23,2,109.63602035324475,83.85578248726203
292,23,2,108.57304758031206,85.73524042085154
293,23,2,107.7001584654575,87.60504580087925
294,23,2,109.40340764470339,91.83212014526259
295,23,2,109.98344059328157,95.24784868025527
296,23,2,110.12984889270288,98.38784183586388
297,23,2,111.30542152190952,102.64665360372476
298,23,2,115.70534254243864,104.06842217252326
299,23,2,118.42447020423944,103.71608084117499
300,23,2,121.42402532394401,103.66441766420958
301,23,2,123.58358044364857,102.77275448724417
302,23,2,126.02352203532782,102.23147470393609
303,23,2,129.02275487830153,102.2993153527228
304,23,2,133.00198772127524,103.34715600150952
305,23,2,137.12173973754895,104.42858346125216
306,23,2,140.81590812387162,104.94161909473846
307,23,2,143.24066001797252,104.07953279802642
308,23,2,146.51445561178713,104.16669104306615
309,23,2,150.6232911852739,105.02811433363554
310,23,2,153.5554873064718,104.39390150907897
311,23,2,156.0676834276697,103.33968868452239
312,23,2,159.47655242822313,103.5014986430207
313,23,2,158.45168549050703,105.37998988036999
314,23,2,157.92763005043798,107.5233066645969
315,23,2,159.2591932044072,111.3227602739072
316,23,2,160.77438555225723,115.57188671245055
317,23,2,160.53759051879777,118.807038636361
318,23,2,164.3772055848161,119.69509543313244
319,23,2,167.797177625712,120.12804741532626
320,23,2,172.19717217997476,121.52233126330921
321,23,2,174.21629121252747,120.46963306126767
322,23,2,176.5162016730099,119.74645485840395
323,23,2,179.6561734810946,119.89946065314751
324,23,2,181.39616853088103,118.64491053910297
325,23,2,183.4152103942757,117.74072545588213
326,23,2,186.41233722178433,117.87199152091095
327,23,2,189.82946404929294,118.42325758593977
328,23,2,192.2676380289298,117.9679131535333
329,23,2,193.86425172308716,116.71041356752778
330,23,2,196.9947049161644,117.08955724821807
331,23,2,199.9859466912525,117.31862632724847
332,23,2,202.8371884663406,117.40769540627886
333,23,2,204.4274912829282,116.24871213828766
334,23,2,206.7051597015997,115.91407605063579
335,23,2,209.5343612294191,116.20284438808041
336,23,2,212.50155700610168,116.64527994591572
337,23,2,214.62875278278426,116.24771550375102
338,23,2,217.15912044217828,116.37115885351425
339,23,2,220.6589243888271,117.52911600521327
340,23,2,223.61536392194216,118.03849335751156
341,23,2,226.43180345505723,118.40787070980984
342,23,2,228.68131447508003,118.25594437526382
343,23,2,232.41317849941095,119.89414388965893
344,23,2,236.52534389951393,120.79747312922622
345,23,2,239.09290845928612,120.1046031946544
346,23,2,243.4824275500072,121.25405258855997
347,23,2,247.02422714293638,121.48409624658817
348,23,2,249.86200483876667,120.97962403335961
349,23,2,252.4208941670633,120.20435178597678
350,23,2,254.28310661992816,118.75814803679901
351,23,2,257.27302126256984,118.51236270420819
352,23,2,261.66293590521155,119.66657737161735
353,23,2,263.38095443311005,118.044078202662
354,23,2,266.37064238112794,117.79555059156688
355,23,2,269.3603303291458,117.54702298047177
356,23,2,271.7900182771637,116.73849536937665
357,23,2,273.66433762987566,115.43396457526732
358,23,2,275.6839304156947,114.4045366554004
359,23,2,278.82303129231104,114.61798004774595
360,23,2,282.2425432811205,115.09208946456415
361,23,2,286.5025029406587,116.33653179303863
362,23,2,290.88790256931543,117.4409153908951
363,23,2,294.3457328135095,117.22465520523954
364,23,2,296.57742638033193,115.56627137935601
365,23,2,300.37718911543345,115.9165729498055
366,23,2,301.45955373830884,118.90472128118729
367,23,2,303.51268801527965,122.87590707329943
368,23,2,304.0768185393816,125.47469912175993
369,23,2,303.54770571867044,126.94551007355565
370,23,2,304.5573063531357,129.7705245087201
371,23,2,306.68690698760093,133.7155389438845
372,23,2,308.2320286377589,137.29404018523115
373,23,2,309.8828861371664,141.19806997568963
374,23,2,309.4152537019044,143.63664767736495
375,23,2,309.89117674424375,147.056126400966
376,23,2,308.5028597090455,148.65610365226865
377,23,2,309.65307695093566,152.63127077457807
378,23,2,309.5595992181159,155.49091003266503
379,23,2,308.92730436683144,157.7901459374977
380,23,2,310.37393313197754,162.0443352608405
381,23,2,309.4473816152844,164.20308647342188
382,23,2,311.00072987231476,168.59916462862174
383,23,2,310.3973283126148,171.42315838611646
384,23,2,311.18611487039357,175.52481860413124
385,23,2,309.7808994619167,177.2613019571871
386,23,2,309.8098048593036,180.26116270028868
387,23,2,308.85871025669053,182.28102344339024
388,23,2,309.3315424384828,185.55481965383362
389,23,2,308.91022045473875,187.9916126743486
390,23,2,307.7813608055263,189.57933470127392
391,23,2,308.96608144151173,193.07356784248373
392,23,2,308.5689885505952,195.20069326833334
393,23,2,309.98620547480846,198.63561572726024
394,23,2,309.053913448078,201.94350626865497
395,23,2,306.8118620222818,203.93679636397107
396,23,2,305.1298105964856,206.49008645928717
397,23,2,303.7041772569569,209.29653136591844
398,23,2,300.7022272904859,210.52033654105037
399,23,2,297.59199315108253,211.6414680900005
400,23,2,294.66278066482926,212.94910642673662
401,23,2,292.8905055566545,215.41701507950347
402,23,2,291.6546794697678,218.4194182916925
403,23,2,288.5418891363565,219.53758684938916
404,23,2,287.0210734964863,222.2545097268706
405,23,2,283.9137922592123,223.379054404679
406,23,2,283.1067698120389,226.81106127417348
407,23,2,281.9126844770024,229.84025195667982
408,23,2,279.7916243436984,231.9188375777327
409,23,2,278.2077849759528,234.52660529985187
410,23,2,275.1517104443411,235.63082040993817
411,23,2,272.28908337313726,236.95253594096553
412,23,2,269.75445593517213,238.61967717322844
413,23,2,266.5389778934496,239.61191735216082
414,23,2,263.3293839550887,240.63913205667657
415,23,2,260.0751408170568,241.6203358194819
416,23,2,259.3610069584891,245.02639660396332
417,23,2,258.50315568039895,248.40207927707075
418,23,2,254.653695611791,248.52708840710744
419,24,2,110.0,75.0
420,24,2,112.56,74.76
421,24,2,115.43996416950384,74.85416508011554
422,24,2,118.47994917415619,75.10332879781056
423,24,2,121.83994050347899,75.65636060455972
424,24,2,125.19952640979,76.16820717078033
425,24,2,128.71795013978698,76.79426768286532
426,24,2,130.79335559892994,75.91392954331697
427,24,2,133.59198575419015,75.82635526588247
428,24,2,135.67061590945036,75.01878098844797
429,24,2,138.3906150751883,74.936619538253
430,24,2,140.7106030317298,74.46483192052067
431,24,2,144.3095260198194,75.34248568246099
432,24,2,147.10885923516435,75.28138290456504
433,24,2,150.38819245050928,75.70028012666909
434,24,2,153.58079066047713,75.896821930264
435,24,2,156.6738582049845,75.82939917202717
436,24,2,160.19066727868835,75.95194182500046
437,24,2,159.8509299979909,78.43187225980606
438,24,2,159.86791901428182,81.2318207188541
439,24,2,160.20490803057274,84.35176917790213
440,24,2,159.77414329701406,86.75160016050967
441,24,2,160.21306021735342,89.9513296962526
442,24,2,160.56734758259472,93.15095652049604
443,24,2,160.80632238995247,96.34632248711553
444,24,2,161.02947030629264,99.6859862570226
445,24,2,159.87882886064529,102.03994115357058
446,24,2,156.67934738671417,101.69382507618576
447,24,2,154.52044292163416,102.41214362670345
448,24,2,151.80068698059617,102.52911213522685
449,24,2,149.64086462636243,103.20065234342346
450,24,2,146.92090049558186,103.26647961107672
451,24,2,143.64097342360984,102.76627090903621
452,24,2,141.24104100089573,103.1857241410126
453,24,2,138.84109047776914,103.56907878000268
454,24,2,135.32163538512927,102.79384125387587
455,24,2,132.12172818053438,102.41663699158332
456,24,2,129.4827012442285,102.65044898135541
457,24,2,126.76315179735057,102.78067740443879
458,24,2,124.04339141989814,102.8973083865092
459,24,2,121.16346627761425,102.83778270228645
460,24,2,118.04376184428575,102.55846545048284
461,24,2,115.00797065061315,102.47193076051303
462,24,2,112.22340836228233,102.76555102957809
463,24,2,112.44706999540793,105.95999279500604
464,24,2,111.91383973712598,108.43186185657628
465,24,2,111.41298421227091,110.90601490877822
466,24,2,111.82715898268029,114.26221500934592
467,24,2,111.61227134909096,117.05395699329257
468,24,2,111.87738371550164,120.32569897723923
469,24,2,112.38162844434392,123.91003531101474
470,24,2,111.91496373542034,126.67087287404615
471,24,2,111.84829902649676,129.83171043707756
472,24,2,111.3903449997915,132.72266866101265
473,24,2,110.83700872416689,135.59027855866742
474,24,2,113.79365132136569,135.8873558490301
475,24,2,116.27072920726351,135.69524369138153
476,24,2,119.46684832968869,136.24261347528676
477,24,2,122.34422030097588,136.4438984877856
478,24,2,125.54183257328363,136.95950806279168
479,24,2,128.34055694465744,137.04401778458916
480,24,2,131.61928131603125,137.60852750638665
481,24,2,134.6590149849851,137.88714593367325
482,24,2,137.69898721926026,138.13961538788163
483,24,2,140.4989323495495,138.12208634427918
484,24,2,143.93887747983874,138.74455730067672
485,24,2,147.29587366471344,139.17489488593583
486,24,2,150.7239760064615,139.5570473884903
487,24,2,153.40534403401588,139.0135318910143
488,24,2,156.17284975306075,138.58819426623378
489,24,2,159.42035547210563,138.64285664145325
490,24,2,158.94737114711512,135.2842090622996
491,24,2,158.73975242721303,132.09082590865455
492,24,2,158.3100286839098,128.58591303842
493,24,2,159.2507792279178,126.23862549446777
494,24,2,159.34464314144708,123.21860123427814
495,24,2,159.66330312941938,120.23489953441374
496,24,2,162.94328951885822,120.70616918749697
497,24,2,165.3431550674307,120.27872998348205
498,24,2,168.14313265119938,120.26752594881138
499,24,2,170.86311023496805,120.17632191414071
500,24,2,173.50309965407396,120.00862432394327
501,24,2,175.8230996265398,119.52823165200911
502,24,2,178.86301065307416,119.79055302050212
503,24,2,181.262991164796,119.40099974141921
504,24,2,184.06281722674132,119.43220908059605
505,24,2,186.62264328868662,119.22341841977288
506,24,2,189.66228259876115,119.50835986484724
507,24,2,191.98211798539631,119.05872115180195
508,24,2,195.02144793005826,119.35997358782711
509,24,2,197.10108918474526,118.68479372899866
510,24,2,199.57940468763255,118.46190369913944
511,24,2,201.81676854004152,118.02337582448368
512,24,2,205.011814208868,118.58986819420184
513,24,2,207.48872371720466,118.40138702242022
514,24,2,210.04400857132882,118.32381418857207
515,24,2,212.8377141424738,118.51145528682476
516,24,2,215.63141971361878,118.69909638507744
517,24,2,218.34512528476378,118.80673748333012
518,24,2,221.21796633657848,119.0868346079935
519,24,2,224.65184038951364,119.91195018360963
520,24,2,227.61173903685938,120.0957737977681
521,24,2,231.21150381251292,120.85948053379713
522,24,2,233.30211568815002,119.59999785879354
523,24,2,233.34984044272406,116.80040461194484
524,24,2,233.87756519729808,114.48081136509614
525,24,2,234.39082693208542,112.16100893331655
526,24,2,234.64933418748575,109.60107009800291
527,24,2,234.90029227933303,107.04109154090233
528,24,2,235.54349974640118,104.88109337801811
529,24,2,236.00557151251604,102.56115077531537
530,24,2,236.69147083209924,100.48135843594534
531,24,2,237.43263642907732,98.48197662686302
532,24,2,237.66588896678147,96.00332072129241
533,24,2,237.56773665706163,93.20504158509162
534,24,2,237.38958434734178,90.32676244889083
535,24,2,237.53449995967986,87.76837738617645
536,24,2,237.42985466216362,84.97033354061081
537,24,2,237.5652093646474,82.41228969504517
538,24,2,237.77022356330124,79.93465171534001
539,24,2,237.56094352997496,77.05763783032207
540,24,2,237.755396270467,74.58045390972799
541,24,2,237.3742230743827,71.54401507994692
542,24,2,237.24538593560032,68.74698075915813
543,24,2,237.03654879681793,65.86994643836935
544,24,2,237.71235583140827,63.87270206088948
545,24,2,238.33958042193126,61.878037741533745
546,24,2,238.596999941383,59.56689856018164
547,24,2,238.0234992119763,56.458397640298294
548,24,2,237.7920892684676,53.66797662581942
549,24,2,237.88067932495892,51.19755561134055
550,24,2,238.02323174381397,48.809416313715225
551,24,2,238.3710071164796,46.664707214513065
552,24,2,237.85982065929184,43.726818074844616
553,24,2,237.52475851527663,40.94693797677421
554,24,2,237.82969637126143,38.8070578787038
555,24,2,237.73309945971863,36.35822292275338
556,24,2,237.1916769999067,33.51650437924083
557,24,2,236.503515328459,30.512602948971434
558,24,2,236.027092419906,27.660807704445894
559,24,2,235.49502261294646,24.725638509829267
560,24,2,234.4833116344996,21.220875556712148
561,24,2,237.67836733473567,21.45455167815652
562,24,2,240.54854715871883,21.300251550462914
563,24,2,243.4172821194797,21.129338580231888
564,24,2,246.76406696311815,21.41762138300831
565,24,2,249.28348797011074,20.70265221962181
566,24,2,251.58257290274238,19.88105752232718
567,24,2,253.58087852931467,19.178451671503733
568,24,2,253.77245728075457,22.138273591279614
569,24,2,253.56043139581618,24.6981338465221
570,24,2,254.39393464611607,28.2979333986721
571,24,2,254.00847560633122,30.697895641359672
572,24,2,254.83276355683407,34.29779029928171
573,24,2,255.3969934769757,37.657787104239816
574,24,2,255.86663805292153,40.9377679551016
